================ 扩展映射验证完整结果 ================
测试总文件数：173
推测系统最可能的映射策略：Block RevSub [I16..I1, Q16..Q1]
平均匹配误差：5.54 / 32 bits

【所有被测试文件的最佳匹配详情】
文件编号  | 最佳相位假说     | 时间 T  | 误差/32 | 映射假说
File 125 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 126 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 127 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 128 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 129 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 130 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 131 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 132 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 133 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 134 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 135 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 136 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 137 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 138 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 139 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 140 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 141 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 142 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 143 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 144 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 145 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 146 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 147 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 148 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 149 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 150 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 151 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 152 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 153 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 154 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 155 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 156 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 157 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 158 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 159 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 160 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 161 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 162 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 163 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 164 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 165 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 166 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 167 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
